Taxon,Taxon Aphia ID,Soniferous Category,Reference Aphia ID,Notes
Acanthopagrus schlegelii,293534,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus sheim,835125,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus sivicolus,279074,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus swinhonis,298250,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus taiwanensis,279075,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopagrus vagus,313009,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthoplesiops cappuccino,1007193,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthoplesiops echinatus,276755,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthoplesiops hiatti,276756,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthoplesiops indicus,218347,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthoplesiops jessicae,1523847,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthoplesiops naka,388925,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthoplesiops psilogaster,276757,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthopoma annectens,1019536,Does not or is unlikely to produce sound under natural conditions,452075,
Acanthopsetta nadeshnyi,279481,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopsis taenia,1568263,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopsoides delphax,1384003,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopsoides gracilentus,1525064,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopsoides gracilis,1015485,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopsoides hapalias,1011266,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopsoides molobrion,1011290,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopsoides namromensis,1009094,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthopsoides robertsi,1011291,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthorhodeus chankaensis,1015529,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthostracion guineense,238343,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthostracion notacanthus,127410,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthostracion polygonium,1577312,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthostracion quadricornis,158920,Produces passive sound under natural conditions,452136,
